,perum,detail
6,"<p class=""venue-front-title"">Bungur</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Bungur</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Pusat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.780jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Buni Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Buni Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.284jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Butterfly Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Butterfly Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,4mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Cahaya Garuda Mansion</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cahaya Garuda Mansion</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Cakra Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cakra Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Cakung Taman Modern</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cakung Taman Modern</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">California Town House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">California Town House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,95mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Callista Prima Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Callista Prima Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jatinegara, Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,78mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Callista Regency</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Callista Regency</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Kramatjati, Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Callista Regency VI</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Callista Regency VI</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Callista Vista Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Callista Vista Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,14mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Camar Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Camar Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.110jt<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Cambela Permai</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cambela Permai</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Camden House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Camden House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,95mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Cantik Permai Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cantik Permai Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,15mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Carina Sayang</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Carina Sayang</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,35mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.35jt<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Carina Sayang</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Carina Sayang</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Carina Sayang II</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Carina Sayang II</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.5,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Carina Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Carina Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Casa 32</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa 32</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Casa Andara</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Andara</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Casa At Paso</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa At Paso</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Casa Bamboo Apoes</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Bamboo Apoes</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Casa Carana Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Carana Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Casa de Paso</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa de Paso</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,77mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Casa de Ross</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa de Ross</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Casa de Sirsak</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa de Sirsak</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,55mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Casa Emerald Gandaria</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Emerald Gandaria</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Casa Goya Park Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Goya Park Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.6mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Casa Jardin</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Jardin</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.75jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.40jt<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Casa Kemang</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Kemang</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.13,8mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Casa Mabda Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Mabda Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Casa Mila Exclusive Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Mila Exclusive Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Casa Pepaya</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Pepaya</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Casa Permata Hijau</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Permata Hijau</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Kebayoran Lama, Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Casa Royal Town House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Royal Town House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.10mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Casa Setu Babakan</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Setu Babakan</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Casa Verde</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casa Verde</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Casaluna Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casaluna Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Setia Budi, Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Casamora</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casamora</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.8mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Casamora Jagakarsa</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casamora Jagakarsa</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Casasima</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casasima</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,97mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Casaviia Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casaviia Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.6,95mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.350jt<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Casilla Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casilla Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,9mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.228jt<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Casita Court Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Casita Court Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Catappa Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Catappa Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Cavana Gaharu</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cavana Gaharu</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.471jt<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Cavana Kemang</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cavana Kemang</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Cavana Kenanga</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cavana Kenanga</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,9mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Cavana Madrasah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cavana Madrasah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.420jt<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Cavana Simatupang</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cavana Simatupang</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Cavea Cilandak Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cavea Cilandak Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,6mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Cawang Kavling</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cawang Kavling</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.975jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Cawang Residenza</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cawang Residenza</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">ceger cipayung</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">ceger cipayung</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,15mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Ceger Permai</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Ceger Permai</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.12,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Ceger Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Ceger Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.900jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Cemara Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cemara Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,99mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Cempaka Baru</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cempaka Baru</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Pusat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Cempaka Putih Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cempaka Putih Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Pusat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,1mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.65jt<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Cempaka Putih Permai</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cempaka Putih Permai</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Pusat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,97mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Cempaka Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cempaka Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Cilandak, Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,1mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Cendrawasih</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cendrawasih</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.18jt<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Cengkareng Elok</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cengkareng Elok</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Cengkareng Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cengkareng Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.55jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.30jt<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Cengkareng Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cengkareng Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,15mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">cengkir timur</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">cengkir timur</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.75jt<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Cibubur Ciracas Jakarta Timur</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cibubur Ciracas Jakarta Timur</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.320jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Cibubur City</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cibubur City</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Cibubur Indah 2</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cibubur Indah 2</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,09mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Cibubur Indah Town House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Cibubur Indah Town House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.850jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
