,perum,detail
4,"<p class=""venue-front-title"">Agung Barat</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Agung Barat</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.65jt<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Agung Lestari Town House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Agung Lestari Town House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Agung Melati Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Agung Melati Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Agung Perkasa</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Agung Perkasa</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.120jt<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Agung Permai</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Agung Permai</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.80jt<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Agung Permai Town House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Agung Permai Town House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Agung Pratama Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Agung Pratama Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Aikonik Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Aikonik Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Pusat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.11mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Ajwa Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Ajwa Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.950jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Akasha Jagakarsa</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Akasha Jagakarsa</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,55mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
