,region,price,details
65,"Taman Sari, Jakarta Barat",Rp 650.000.000,3 KT - 2 KM - 45 m2
66,"Penjaringan, Jakarta Utara",Rp 975.000.000,2 KT - 2 KM - 54 m2
67,"Penjaringan, Jakarta Utara",Rp 1.700.000.000,7 KT - 2 KM - 200 m2
68,"Pademangan, Jakarta Utara",Rp 300.000.000,2 KT - 1 KM - 53 m2
69,"Pademangan, Jakarta Utara",Rp 1.400.000.000,4 KT - 2 KM - 168 m2
70,"Penjaringan, Jakarta Utara",Rp 880.000.000,2 KT - 1 KM - 56 m2
71,"Sawah Besar, Jakarta Pusat",Rp 1.100.000.999,3 KT - 3 KM - 90 m2
72,"Tanjung Priok, Jakarta Utara",Rp 2.950.000.000,4 KT - 3 KM - 150 m2
73,"Tanjung Priok, Jakarta Utara",Rp 2.725.000.000,4 KT - 4 KM - 270 m2
74,"Penjaringan, Jakarta Utara",Rp 887.000.000,2 KT - 2 KM - 54 m2
75,"Gambir, Jakarta Pusat",Rp 3.950.000.000,3 KT - 4 KM - 321 m2
76,"Tanjung Priok, Jakarta Utara",Rp 3.250.000.000,3 KT - 3 KM - 150 m2
77,"Pademangan, Jakarta Utara",Rp 699.000.000,1 KT - 3 KM - 100 m2
78,"Kemayoran, Jakarta Pusat",Rp 14.000.000.000,1 KT - 1 KM - 2529 m2
79,"Tanjung Priok, Jakarta Utara",Rp 3.850.000.000,3 KT - 2 KM - 170 m2
80,"Kemayoran, Jakarta Pusat",Rp 7.500.000.000,3 KT - 3 KM - 411 m2
81,"Pademangan, Jakarta Utara",Rp 900.000.000,&gt;10 KT - &gt;10 KM - 100 m2
82,"Penjaringan, Jakarta Utara",Rp 4.500.000.000,6 KT - 4 KM - 200 m2
83,"Kemayoran, Jakarta Pusat",Rp 15.000.000.000,3 KT - 3 KM - 600 m2
84,"Gambir, Jakarta Pusat",Rp 1.509.000.000,3 KT - 3 KM - 88 m2
85,"Pademangan, Jakarta Utara",Rp 975.000.000,2 KT - 2 KM - 54 m2
86,"Sawah Besar, Jakarta Pusat",Rp 550.000.000,2 KT - 1 KM - 50 m2
87,"Tanjung Priok, Jakarta Utara",Rp 6.624.000.000,4 KT - 3 KM - 145 m2
88,"Pademangan, Jakarta Utara",Rp 7.000.000.000,4 KT - 4 KM - 409 m2
89,"Tanjung Priok, Jakarta Utara",Rp 6.900.000.000,5 KT - 5 KM - 350 m2
90,"Tanjung Priok, Jakarta Utara",Rp 18.000.000.000,6 KT - 5 KM - 972 m2
91,"Tanjung Priok, Jakarta Utara",Rp 1.750.000.000,4 KT - 3 KM - 145 m2
92,"Tanjung Priok, Jakarta Utara",Rp 2.200.000.000,4 KT - 2 KM - 150 m2
93,"Tanjung Priok, Jakarta Utara",Rp 27.000.000.000,&gt;10 KT - 6 KM - 1700 m2
94,"Tanjung Priok, Jakarta Utara",Rp 20.000.000.000,6 KT - 5 KM - 508 m2
95,"Kemayoran, Jakarta Pusat",Rp 440.000.000,2 KT - 1 KM - 36 m2
96,"Sawah Besar, Jakarta Pusat",Rp 6.900.000.000,5 KT - 4 KM - 360 m2
97,"Tanjung Priok, Jakarta Utara",Rp 1.350.000.000,3 KT - 2 KM - 169 m2
98,"Tambora, Jakarta Barat",Rp 9.500.000.000,7 KT - 8 KM - 700 m2
99,"Tanjung Priok, Jakarta Utara",Rp 3.650.000.000,5 KT - 5 KM - 240 m2
100,"Penjaringan, Jakarta Utara",Rp 999.000.000,3 KT - 2 KM - 79 m2
101,"Tanjung Priok, Jakarta Utara",Rp 800.000.000,1 KT - 1 KM - 80 m2
102,"Tanjung Priok, Jakarta Utara",Rp 400.000.000,6 KT - 5 KM - 186 m2
103,"Kemayoran, Jakarta Pusat",Rp 8.250.000.000,4 KT - 4 KM - 350 m2
104,"Tanjung Priok, Jakarta Utara",Rp 3.500.000.000,3 KT - 2 KM - 135 m2
105,"Sawah Besar, Jakarta Pusat",Rp 450.000.000,3 KT - 2 KM - 84 m2
106,"Tanjung Priok, Jakarta Utara",Rp 4.700.000.000,4 KT - 4 KM - 350 m2
107,"Tanjung Priok, Jakarta Utara",Rp 36.000.000.000,7 KT - 7 KM - 1500 m2
108,"Tanjung Priok, Jakarta Utara",Rp 2.200.000.000,3 KT - 2 KM - 125 m2
109,"Penjaringan, Jakarta Utara",Rp 5.500.000.000,6 KT - 6 KM - 400 m2
110,"Tanjung Priok, Jakarta Utara",Rp 2.500.000.000,4 KT - 2 KM - 104 m2
111,"Tanjung Priok, Jakarta Utara",Rp 4.300.000.000,4 KT - 4 KM - 150 m2
112,"Tanjung Priok, Jakarta Utara",Rp 4.200.000.000,6 KT - 6 KM - 270 m2
