,region,price,details
1138,"Tarumajaya, Bekasi Kab.",Rp 2.000.000.000,6 KT - 3 KM - 56 m2
1139,"Tarumajaya, Bekasi Kab.",Rp 1.050.000.000,4 KT - 2 KM - 120 m2
1140,"Koja, Jakarta Utara",Rp 1.350.000.000,5 KT - 3 KM - 210 m2
1141,"Tarumajaya, Bekasi Kab.",Rp 350.000.000,2 KT - 1 KM - 60 m2
1142,"Tarumajaya, Bekasi Kab.",Rp 420.000.000,2 KT - 2 KM - 90 m2
1143,"Tarumajaya, Bekasi Kab.",Rp 3.500.000.000,4 KT - 4 KM - 326 m2
1144,"Tarumajaya, Bekasi Kab.",Rp 850.000.000,2 KT - 1 KM - 50 m2
1145,"Cilincing, Jakarta Utara",Rp 1.500.000.000,2 KT - 2 KM - 80 m2
1146,"Tarumajaya, Bekasi Kab.",Rp 800.000.000,2 KT - 1 KM - 70 m2
1147,"Koja, Jakarta Utara",Rp 650.000.000,3 KT - 1 KM - 100 m2
1148,"Cilincing, Jakarta Utara",Rp 660.000.000,2 KT - 1 KM - 65 m2
1149,"Tarumajaya, Bekasi Kab.",Rp 3.500.000.000,4 KT - 4 KM - 184 m2
1150,"Tarumajaya, Bekasi Kab.",Rp 665.000.000,2 KT - 1 KM - 45 m2
1151,"Cilincing, Jakarta Utara",Rp 950.000.000,3 KT - 2 KM - 191 m2
1152,"Cilincing, Jakarta Utara",Rp 450.000.000,2 KT - 1 KM - 70 m2
1153,"Koja, Jakarta Utara",Rp 415.000.000,2 KT - 2 KM - 28 m2
1154,"Tarumajaya, Bekasi Kab.",Rp 1.500.000.000,4 KT - 2 KM - 120 m2
1155,"Tarumajaya, Bekasi Kab.",Rp 1.700.000.000,2 KT - 2 KM - 150 m2
1156,"Cilincing, Jakarta Utara",Rp 99.000.009,2 KT - 1 KM - 34 m2
1157,"Koja, Jakarta Utara",Rp 3.500.000.000,6 KT - 4 KM - 225 m2
1158,"Tarumajaya, Bekasi Kab.",Rp 99.000.003,2 KT - 1 KM - 28 m2
1159,"Tarumajaya, Bekasi Kab.",Rp 1.800.000.000,4 KT - 3 KM - 90 m2
1160,"Tarumajaya, Bekasi Kab.",Rp 1.700.000.000,3 KT - 3 KM - 80 m2
1161,"Cilincing, Jakarta Utara",Rp 850.000.000,3 KT - 3 KM - 84 m2
1162,"Cilincing, Jakarta Utara",Rp 2.600.000.000,5 KT - 4 KM - 65 m2
1163,"Tarumajaya, Bekasi Kab.",Rp 2.350.000.000,4 KT - 2 KM - 350 m2
1164,"Tarumajaya, Bekasi Kab.",Rp 370.000.000,2 KT - 1 KM - 50 m2
1165,"Tarumajaya, Bekasi Kab.",Rp 600.000.000,2 KT - 1 KM - 60 m2
1166,"Tarumajaya, Bekasi Kab.",Rp 920.000.000,2 KT - 1 KM - 55 m2
1167,"Tarumajaya, Bekasi Kab.",Rp 1.300.000.000,3 KT - 3 KM - 69 m2
1168,"Tarumajaya, Bekasi Kab.",Rp 400.000.000,2 KT - 1 KM - 36 m2
1169,"Tarumajaya, Bekasi Kab.",Rp 1.475.000.000,4 KT - 2 KM - 144 m2
1170,"Cilincing, Jakarta Utara",Rp 5.800.000.000,1 KT - 1 KM - 525 m2
1171,"Koja, Jakarta Utara",Rp 850.000.000,2 KT - 2 KM - 114 m2
1172,"Koja, Jakarta Utara",Rp 1.150.000.000,5 KT - 4 KM - 150 m2
1173,"Cilincing, Jakarta Utara",Rp 1.200.000.000,3 KT - 2 KM - 80 m2
1174,"Cilincing, Jakarta Utara",Rp 304.400.000,2 KT - 1 KM - 36 m2
1175,"Cilincing, Jakarta Utara",Rp 780.000.000,3 KT - 1 KM - 81 m2
1176,"Koja, Jakarta Utara",Rp 900.000.000,1 KT - 1 KM - 114 m2
1177,"Koja, Jakarta Utara",Rp 1.350.000.000,4 KT - 3 KM - 210 m2
1178,"Koja, Jakarta Utara",Rp 1.200.000.300,4 KT - 4 KM - 203 m2
1179,"Tarumajaya, Bekasi Kab.",Rp 1.400.000.000,3 KT - 2 KM - 100 m2
1180,"Koja, Jakarta Utara",Rp 650.000.000,4 KT - 1 KM - 100 m2
1181,"Cilincing, Jakarta Utara",Rp 550.000.000,4 KT - 1 KM - 126 m2
1182,"Koja, Jakarta Utara",Rp 1.000.000.000,4 KT - 2 KM - 140 m2
1183,"Tarumajaya, Bekasi Kab.",Rp 275.000.000,2 KT - 1 KM - 76 m2
1184,"Tarumajaya, Bekasi Kab.",Rp 1.500.000.000,3 KT - 3 KM - 80 m2
1185,"Tarumajaya, Bekasi Kab.",Rp 600.000.000,3 KT - 2 KM - 40 m2
1186,"Tarumajaya, Bekasi Kab.",Rp 950.000.000,2 KT - 1 KM - 58 m2
1187,"Tarumajaya, Bekasi Kab.",Rp 3.300.000.000,3 KT - 1 KM - 300 m2
1188,"Tarumajaya, Bekasi Kab.",Rp 2.350.000.000,5 KT - 5 KM - 300 m2
1189,"Koja, Jakarta Utara",Rp 2.100.000.000,6 KT - 4 KM - 300 m2
1190,"Tarumajaya, Bekasi Kab.",Rp 1.050.000.000,4 KT - 2 KM - 150 m2
1191,"Koja, Jakarta Utara",Rp 1.250.000.000,2 KT - 1 KM - 80 m2
1192,"Tarumajaya, Bekasi Kab.",Rp 3.000.000.000,5 KT - 5 KM - 300 m2
1193,"Cilincing, Jakarta Utara",Rp 1.500.000.000,4 KT - 3 KM - 164 m2
1194,"Tarumajaya, Bekasi Kab.",Rp 1.700.000.000,4 KT - 4 KM - 200 m2
1195,"Tarumajaya, Bekasi Kab.",Rp 700.000.000,3 KT - 1 KM - 45 m2
1196,"Cilincing, Jakarta Utara",Rp 1.400.000.000,3 KT - 3 KM - 120 m2
1197,"Tarumajaya, Bekasi Kab.",Rp 1.300.000.000,5 KT - 2 KM - 160 m2
1198,"Tarumajaya, Bekasi Kab.",Rp 828.000.000,3 KT - 2 KM - 90 m2
1199,"Tarumajaya, Bekasi Kab.",Rp 4.485.000.000,4 KT - 3 KM - 175 m2
1200,"Tarumajaya, Bekasi Kab.",Rp 2.063.000.000,2 KT - 2 KM - 63 m2
1201,"Tarumajaya, Bekasi Kab.",Rp 1.706.000.000,2 KT - 1 KM - 69 m2
1202,"Tarumajaya, Bekasi Kab.",Rp 250.000.000,3 KT - 1 KM - 150 m2
1203,"Koja, Jakarta Utara",Rp 700.000.000,1 KT - 1 KM - 50 m2
1204,"Tarumajaya, Bekasi Kab.",Rp 3.500.000.000,6 KT - 4 KM - 225 m2
1205,"Tarumajaya, Bekasi Kab.",Rp 220.000.000,2 KT - 1 KM - 50 m2
1206,"Tarumajaya, Bekasi Kab.",Rp 1.500.000.000,4 KT - 2 KM - 80 m2
1207,"Tarumajaya, Bekasi Kab.",Rp 2.100.000.000,3 KT - 2 KM - 76 m2
1208,"Tarumajaya, Bekasi Kab.",Rp 1.200.000.000,3 KT - 1 KM - 100 m2
1209,"Tarumajaya, Bekasi Kab.",Rp 800.000.000,3 KT - 1 KM - 100 m2
1210,"Tarumajaya, Bekasi Kab.",Rp 1.175.000.000,2 KT - 1 KM - 65 m2
1211,"Cilincing, Jakarta Utara",Rp 488.500.000,3 KT - 2 KM - 70 m2
1212,"Cilincing, Jakarta Utara",Rp 389.300.000,2 KT - 1 KM - 36 m2
1213,"Tarumajaya, Bekasi Kab.",Rp 830.000.000,2 KT - 1 KM - 52 m2
1214,"Cilincing, Jakarta Utara",Rp 400.000.000,9 KT - 3 KM - 100 m2
1215,"Tarumajaya, Bekasi Kab.",Rp 1.200.000.000,2 KT - 2 KM - 75 m2
1216,"Tarumajaya, Bekasi Kab.",Rp 620.000.000,2 KT - 2 KM - 52 m2
1217,"Cilincing, Jakarta Utara",Rp 500.000.000,3 KT - 1 KM - 67 m2
1218,"Cilincing, Jakarta Utara",Rp 2.200.000.000,4 KT - 4 KM - 135 m2
1219,"Cilincing, Jakarta Utara",Rp 550.000.000,4 KT - 2 KM - 134 m2
1220,"Tarumajaya, Bekasi Kab.",Rp 1.250.000.000,3 KT - 2 KM - 72 m2
1221,"Tarumajaya, Bekasi Kab.",Rp 675.000.000,3 KT - 2 KM - 70 m2
1222,"Koja, Jakarta Utara",Rp 90.000.000,2 KT - 1 KM - 32 m2
1223,"Tarumajaya, Bekasi Kab.",Rp 950.000.000,4 KT - 2 KM - 120 m2
1224,"Tarumajaya, Bekasi Kab.",Rp 1.450.000.000,3 KT - 3 KM - 69 m2
1225,"Tarumajaya, Bekasi Kab.",Rp 823.000.000,2 KT - 1 KM - 52 m2
1226,"Tarumajaya, Bekasi Kab.",Rp 895.000.000,2 KT - 3 KM - 150 m2
1227,"Tarumajaya, Bekasi Kab.",Rp 2.263.000.000,4 KT - 3 KM - 112 m2
1228,"Koja, Jakarta Utara",Rp 540.000.000,2 KT - 2 KM - 56 m2
1229,"Tarumajaya, Bekasi Kab.",Rp 782.000.000,2 KT - 1 KM - 45 m2
1230,"Tarumajaya, Bekasi Kab.",Rp 4.280.000.000,4 KT - 3 KM - 175 m2
1231,"Tarumajaya, Bekasi Kab.",Rp 1.951.000.000,3 KT - 3 KM - 80 m2
1232,"Tarumajaya, Bekasi Kab.",Rp 1.300.000.000,2 KT - 2 KM - 56 m2
1233,"Koja, Jakarta Utara",Rp 2.600.000.000,5 KT - 3 KM - 125 m2
1234,"Cilincing, Jakarta Utara",Rp 200.000.000,1 KT - 1 KM - 33 m2
1235,"Tarumajaya, Bekasi Kab.",Rp 820.000.000,2 KT - 1 KM - 50 m2
1236,"Tarumajaya, Bekasi Kab.",Rp 1.250.000.000,3 KT - 3 KM - 69 m2
1237,"Tarumajaya, Bekasi Kab.",Rp 2.000.000.000,4 KT - 4 KM - 157 m2
1238,"Tarumajaya, Bekasi Kab.",Rp 2.800.000.000,6 KT - 3 KM - 204 m2
1239,"Tarumajaya, Bekasi Kab.",Rp 775.000.000,2 KT - 1 KM - 50 m2
1240,"Tarumajaya, Bekasi Kab.",Rp 389.300.005,2 KT - 1 KM - 36 m2
1241,"Tarumajaya, Bekasi Kab.",Rp 1.080.000.000,3 KT - 2 KM - 88 m2
1242,"Tarumajaya, Bekasi Kab.",Rp 488.500.005,3 KT - 2 KM - 70 m2
1243,"Cilincing, Jakarta Utara",Rp 1.275.000.000,3 KT - 2 KM - 90 m2
1244,"Koja, Jakarta Utara",Rp 880.000.000,7 KT - 3 KM - 110 m2
1245,"Koja, Jakarta Utara",Rp 699.175.000,2 KT - 1 KM - 35 m2
1246,"Tarumajaya, Bekasi Kab.",Rp 145.000.000,1 KT - 1 KM - 22 m2
1247,"Cilincing, Jakarta Utara",Rp 699.150.000,2 KT - 1 KM - 34 m2
1248,"Tarumajaya, Bekasi Kab.",Rp 1.080.000.000,3 KT - 2 KM - 888 m2
1249,"Tarumajaya, Bekasi Kab.",Rp 400.000.000,2 KT - 1 KM - 50 m2
1250,"Tarumajaya, Bekasi Kab.",Rp 825.000.000,2 KT - 1 KM - 50 m2
1251,"Tarumajaya, Bekasi Kab.",Rp 170.000.000,2 KT - 1 KM - 60 m2
1252,"Tarumajaya, Bekasi Kab.",Rp 1.600.000.000,3 KT - 3 KM - 69 m2
1253,"Tarumajaya, Bekasi Kab.",Rp 935.000.000,4 KT - 2 KM - 110 m2
1254,"Tarumajaya, Bekasi Kab.",Rp 735.000.000,2 KT - 1 KM - 50 m2
1255,"Tarumajaya, Bekasi Kab.",Rp 1.650.000.000,3 KT - 3 KM - 150 m2
1256,"Tarumajaya, Bekasi Kab.",Rp 765.000.000,2 KT - 1 KM - 45 m2
1257,"Tarumajaya, Bekasi Kab.",Rp 2.250.000.000,5 KT - 3 KM - 200 m2
1258,"Tarumajaya, Bekasi Kab.",Rp 1.250.000.000,2 KT - 2 KM - 53 m2
1259,"Tarumajaya, Bekasi Kab.",Rp 1.500.000.000,2 KT - 2 KM - 60 m2
1260,"Tarumajaya, Bekasi Kab.",Rp 1.400.000.000,3 KT - 2 KM - 36 m2
1261,"Cilincing, Jakarta Utara",Rp 1.679.000.000,3 KT - 3 KM - 98 m2
1262,"Tarumajaya, Bekasi Kab.",Rp 2.450.000.000,5 KT - 5 KM - 365 m2
1263,"Tarumajaya, Bekasi Kab.",Rp 1.650.000.000,3 KT - 2 KM - 120 m2
1264,"Tarumajaya, Bekasi Kab.",Rp 750.000.000,3 KT - 2 KM - 103 m2
1265,"Tarumajaya, Bekasi Kab.",Rp 1.900.000.000,4 KT - 4 KM - 110 m2
1266,"Tarumajaya, Bekasi Kab.",Rp 2.350.000.000,4 KT - 3 KM - 121 m2
1267,"Tarumajaya, Bekasi Kab.",Rp 1.500.000.000,4 KT - 4 KM - 180 m2
1268,"Tarumajaya, Bekasi Kab.",Rp 1.350.000.000,3 KT - 3 KM - 160 m2
1269,"Tarumajaya, Bekasi Kab.",Rp 5.500.000.000,5 KT - 5 KM - 280 m2
1270,"Tarumajaya, Bekasi Kab.",Rp 2.450.000.000,4 KT - 3 KM - 180 m2
1271,"Tarumajaya, Bekasi Kab.",Rp 500.000.000,2 KT - 1 KM - 56 m2
1272,"Tarumajaya, Bekasi Kab.",Rp 3.500.000.000,7 KT - 4 KM - 300 m2
1273,"Tarumajaya, Bekasi Kab.",Rp 5.750.000.000,5 KT - 3 KM - 350 m2
1274,"Tarumajaya, Bekasi Kab.",Rp 2.000.000.000,5 KT - 3 KM - 225 m2
1275,"Tarumajaya, Bekasi Kab.",Rp 720.000.000,3 KT - 2 KM - 70 m2
1276,"Tarumajaya, Bekasi Kab.",Rp 610.000.000,3 KT - 3 KM - 100 m2
1277,"Tarumajaya, Bekasi Kab.",Rp 700.000.000,3 KT - 1 KM - 72 m2
1278,"Cilincing, Jakarta Utara",Rp 340.000.000,2 KT - 1 KM - 1 m2
1279,"Koja, Jakarta Utara",Rp 760.000.000,2 KT - 2 KM - 80 m2
1280,"Koja, Jakarta Utara",Rp 870.000.000,&gt;10 KT - 4 KM - 154 m2
1281,"Tarumajaya, Bekasi Kab.",Rp 1.200.000.000,3 KT - 2 KM - 120 m2
1282,"Tarumajaya, Bekasi Kab.",Rp 1.245.000.000,4 KT - 3 KM - 100 m2
1283,"Tarumajaya, Bekasi Kab.",Rp 2.350.000.000,3 KT - 4 KM - 180 m2
1284,"Cilincing, Jakarta Utara",Rp 1.500.000.000,4 KT - 3 KM - 89 m2
1285,"Tarumajaya, Bekasi Kab.",Rp 1.600.000.000,4 KT - 3 KM - 120 m2
1286,"Tarumajaya, Bekasi Kab.",Rp 1.375.000.000,4 KT - 3 KM - 105 m2
1287,"Koja, Jakarta Utara",Rp 1.550.000.000,3 KT - 2 KM - 150 m2
1288,"Tarumajaya, Bekasi Kab.",Rp 1.050.000.000,3 KT - 2 KM - 90 m2
1289,"Tarumajaya, Bekasi Kab.",Rp 1.905.000.000,3 KT - 3 KM - 80 m2
1290,"Tarumajaya, Bekasi Kab.",Rp 1.936.000.000,3 KT - 3 KM - 80 m2
1291,"Tarumajaya, Bekasi Kab.",Rp 2.518.000.000,4 KT - 3 KM - 121 m2
1292,"Tarumajaya, Bekasi Kab.",Rp 450.000.000,2 KT - 1 KM - 45 m2
1293,"Cilincing, Jakarta Utara",Rp 2.500.000.000,6 KT - 3 KM - 210 m2
1294,"Tarumajaya, Bekasi Kab.",Rp 1.315.000.000,2 KT - 2 KM - 56 m2
1295,"Tarumajaya, Bekasi Kab.",Rp 1.155.000.000,1 KT - 2 KM - 48 m2
1296,"Cilincing, Jakarta Utara",Rp 2.500.000.000,4 KT - 4 KM - 180 m2
1297,"Tarumajaya, Bekasi Kab.",Rp 1.524.000.000,3 KT - 3 KM - 69 m2
1298,"Tarumajaya, Bekasi Kab.",Rp 820.000.000,2 KT - 1 KM - 45 m2
1299,"Tarumajaya, Bekasi Kab.",Rp 1.745.000.000,3 KT - 3 KM - 80 m2
1300,"Tarumajaya, Bekasi Kab.",Rp 1.670.000.000,3 KT - 3 KM - 69 m2
1301,"Tarumajaya, Bekasi Kab.",Rp 1.663.000.000,3 KT - 3 KM - 69 m2
1302,"Tarumajaya, Bekasi Kab.",Rp 1.500.000.000,3 KT - 3 KM - 84 m2
1303,"Cilincing, Jakarta Utara",Rp 699.125.000,2 KT - 1 KM - 35 m2
1304,"Koja, Jakarta Utara",Rp 699.000.000,2 KT - 1 KM - 35 m2
1305,"Tarumajaya, Bekasi Kab.",Rp 330.000.000,2 KT - 1 KM - 50 m2
1306,"Koja, Jakarta Utara",Rp 1.400.000.000,3 KT - 3 KM - 135 m2
1307,"Tarumajaya, Bekasi Kab.",Rp 1.080.000.000,2 KT - 2 KM - 88 m2
1308,"Tarumajaya, Bekasi Kab.",Rp 3.700.000.000,6 KT - 5 KM - 341 m2
1309,"Cilincing, Jakarta Utara",Rp 282.000.000,2 KT - 1 KM - 36 m2
1310,"Koja, Jakarta Utara",Rp 850.000.000,2 KT - 2 KM - 144 m2
1311,"Koja, Jakarta Utara",Rp 729.350.000,3 KT - 2 KM - 66 m2
1312,"Cilincing, Jakarta Utara",Rp 929.200.000,3 KT - 2 KM - 65 m2
1313,"Tarumajaya, Bekasi Kab.",Rp 570.000.000,3 KT - 2 KM - 54 m2
1314,"Tarumajaya, Bekasi Kab.",Rp 1.200.000.000,3 KT - 2 KM - 100 m2
1315,"Koja, Jakarta Utara",Rp 759.110.000,2 KT - 1 KM - 37 m2
1316,"Tarumajaya, Bekasi Kab.",Rp 774.000.000,2 KT - 1 KM - 45 m2
1317,"Cilincing, Jakarta Utara",Rp 1.800.000.000,3 KT - 2 KM - 80 m2
1318,"Cilincing, Jakarta Utara",Rp 5.100.000.000,5 KT - 3 KM - 160 m2
1319,"Tarumajaya, Bekasi Kab.",Rp 550.000.000,3 KT - 1 KM - 120 m2
1320,"Tarumajaya, Bekasi Kab.",Rp 270.000.000,2 KT - 1 KM - 60 m2
1321,"Tarumajaya, Bekasi Kab.",Rp 350.000.000,2 KT - 1 KM - 50 m2
1322,"Tarumajaya, Bekasi Kab.",Rp 340.000.000,3 KT - 1 KM - 50 m2
1323,"Tarumajaya, Bekasi Kab.",Rp 1.250.000.000,2 KT - 1 KM - 75 m2
1324,"Tarumajaya, Bekasi Kab.",Rp 330.000.000,3 KT - 1 KM - 50 m2
1325,"Cilincing, Jakarta Utara",Rp 270.000.000,2 KT - 1 KM - 82 m2
1326,"Tarumajaya, Bekasi Kab.",Rp 290.000.000,2 KT - 1 KM - 50 m2
1327,"Tarumajaya, Bekasi Kab.",Rp 350.000.000,3 KT - 2 KM - 50 m2
1328,"Koja, Jakarta Utara",Rp 678.000.000,2 KT - 1 KM - 100 m2
1329,"Tarumajaya, Bekasi Kab.",Rp 1.300.000.000,4 KT - 3 KM - 105 m2
1330,"Tarumajaya, Bekasi Kab.",Rp 750.000.000,2 KT - 1 KM - 60 m2
1331,"Cilincing, Jakarta Utara",Rp 1.250.000.000,3 KT - 2 KM - 90 m2
1332,"Tarumajaya, Bekasi Kab.",Rp 2.150.000.000,4 KT - 4 KM - 110 m2
1333,"Tarumajaya, Bekasi Kab.",Rp 1.600.000.000,2 KT - 2 KM - 100 m2
1334,"Kelapa Gading, Jakarta Utara",Rp 1.500.000.000,3 KT - 3 KM - 100 m2
1335,"Tarumajaya, Bekasi Kab.",Rp 1.250.000.000,3 KT - 2 KM - 80 m2
1336,"Tarumajaya, Bekasi Kab.",Rp 2.700.000.000,2 KT - 2 KM - 150 m2
1337,"Tarumajaya, Bekasi Kab.",Rp 850.000.000,2 KT - 2 KM - 70 m2
1338,"Tarumajaya, Bekasi Kab.",Rp 1.200.000.000,2 KT - 1 KM - 72 m2
1339,"Tarumajaya, Bekasi Kab.",Rp 840.000.000,2 KT - 1 KM - 70 m2
1340,"Tarumajaya, Bekasi Kab.",Rp 380.000.000,3 KT - 1 KM - 100 m2
1341,"Cilincing, Jakarta Utara",Rp 1.800.000.000,3 KT - 2 KM - 120 m2
1342,"Cilincing, Jakarta Utara",Rp 1.500.000.000,4 KT - 3 KM - 124 m2
1343,"Cilincing, Jakarta Utara",Rp 1.000.000.000,3 KT - 2 KM - 111 m2
1344,"Koja, Jakarta Utara",Rp 1.650.000.000,4 KT - 3 KM - 192 m2
1345,"Tarumajaya, Bekasi Kab.",Rp 3.000.000.000,5 KT - 4 KM - 250 m2
1346,"Tarumajaya, Bekasi Kab.",Rp 1.200.000.000,3 KT - 2 KM - 57 m2
1347,"Koja, Jakarta Utara",Rp 9.800.000.000,7 KT - 4 KM - 400 m2
1348,"Koja, Jakarta Utara",Rp 1.975.000.000,3 KT - 2 KM - 120 m2
1349,"Tarumajaya, Bekasi Kab.",Rp 1.350.000.000,7 KT - 3 KM - 160 m2
1350,"Cilincing, Jakarta Utara",Rp 31.000.000.000,&gt;10 KT - &gt;10 KM - 1363 m2
1351,"Tarumajaya, Bekasi Kab.",Rp 900.000.000,2 KT - 1 KM - 55 m2
1352,"Tarumajaya, Bekasi Kab.",Rp 3.800.000.000,4 KT - 3 KM - 291 m2
1353,"Tarumajaya, Bekasi Kab.",Rp 825.000.000,2 KT - 1 KM - 45 m2
1354,"Tarumajaya, Bekasi Kab.",Rp 1.500.000.000,3 KT - 2 KM - 144 m2
1355,"Tarumajaya, Bekasi Kab.",Rp 680.000.000,2 KT - 2 KM - 66 m2
1356,"Tarumajaya, Bekasi Kab.",Rp 390.000.000,2 KT - 1 KM - 50 m2
1357,"Tarumajaya, Bekasi Kab.",Rp 1.100.000.000,3 KT - 2 KM - 70 m2
1358,"Koja, Jakarta Utara",Rp 749.100.000,2 KT - 1 KM - 38 m2
1359,"Cilincing, Jakarta Utara",Rp 759.000.000,2 KT - 1 KM - 38 m2
1360,"Koja, Jakarta Utara",Rp 650.000.000,3 KT - 2 KM - 50 m2
1361,"Cilincing, Jakarta Utara",Rp 650.000.000,3 KT - 2 KM - 50 m2
1362,"Koja, Jakarta Utara",Rp 2.350.000.000,4 KT - 4 KM - 250 m2
1363,"Cilincing, Jakarta Utara",Rp 2.000.000.000,6 KT - 3 KM - 260 m2
1364,"Koja, Jakarta Utara",Rp 2.268.000.000,4 KT - 3 KM - 200 m2
1365,"Tarumajaya, Bekasi Kab.",Rp 650.000.000,3 KT - 1 KM - 50 m2
1366,"Tarumajaya, Bekasi Kab.",Rp 5.500.000.000,4 KT - 2 KM - 450 m2
1367,"Cilincing, Jakarta Utara",Rp 380.000.000,2 KT - 2 KM - 27 m2
1368,"Tarumajaya, Bekasi Kab.",Rp 100.000.000,2 KT - 1 KM - 40 m2
1369,"Cilincing, Jakarta Utara",Rp 175.000.000,1 KT - 1 KM - 44 m2
1370,"Tarumajaya, Bekasi Kab.",Rp 600.000.000,3 KT - 1 KM - 65 m2
1371,"Cilincing, Jakarta Utara",Rp 3.500.000.000,3 KT - 2 KM - 5 m2
1372,"Cilincing, Jakarta Utara",Rp 310.000.000,1 KT - 1 KM - 40 m2
1373,"Tarumajaya, Bekasi Kab.",Rp 2.200.000.000,4 KT - 4 KM - 225 m2
1374,"Koja, Jakarta Utara",Rp 2.500.000.000,3 KT - 2 KM - 200 m2
1375,"Tarumajaya, Bekasi Kab.",Rp 260.000.000,2 KT - 1 KM - 45 m2
1376,"Koja, Jakarta Utara",Rp 350.000.000,1 KT - 1 KM - 31 m2
1377,"Tarumajaya, Bekasi Kab.",Rp 99.000.003,2 KT - 1 KM - 26 m2
1378,"Tarumajaya, Bekasi Kab.",Rp 750.000.000,2 KT - 1 KM - 38 m2
1379,"Tarumajaya, Bekasi Kab.",Rp 4.500.000.000,5 KT - 4 KM - 350 m2
1380,"Tarumajaya, Bekasi Kab.",Rp 3.500.000.000,4 KT - 3 KM - 115 m2
1381,"Tarumajaya, Bekasi Kab.",Rp 625.000.000,3 KT - 1 KM - 60 m2
1382,"Cilincing, Jakarta Utara",Rp 650.000.000,2 KT - 1 KM - 49 m2
1383,"Koja, Jakarta Utara",Rp 300.000.000,2 KT - 1 KM - 36 m2
1384,"Koja, Jakarta Utara",Rp 168.000.000,2 KT - 1 KM - 33 m2
1385,"Koja, Jakarta Utara",Rp 639.000.000,2 KT - 1 KM - 90 m2
1386,"Cilincing, Jakarta Utara",Rp 150.000.000,2 KT - 1 KM - 30 m2
1387,"Tarumajaya, Bekasi Kab.",Rp 700.000.000,2 KT - 1 KM - 98 m2
1388,"Cilincing, Jakarta Utara",Rp 800.000.000,4 KT - 2 KM - 400 m2
1389,"Tarumajaya, Bekasi Kab.",Rp 7.900.000.000,6 KT - 4 KM - 450 m2
1390,"Tarumajaya, Bekasi Kab.",Rp 600.000.000,2 KT - 2 KM - 120 m2
1391,"Cilincing, Jakarta Utara",Rp 975.000.000,2 KT - 2 KM - 54 m2
1392,"Tarumajaya, Bekasi Kab.",Rp 400.000.000,2 KT - 1 KM - 72 m2
1393,"Cilincing, Jakarta Utara",Rp 729.100.000,2 KT - 1 KM - 37 m2
1394,"Koja, Jakarta Utara",Rp 729.100.000,2 KT - 1 KM - 37 m2
1395,"Koja, Jakarta Utara",Rp 2.800.000.000,6 KT - 3 KM - 600 m2
1396,"Koja, Jakarta Utara",Rp 1.500.000.000,4 KT - 3 KM - 123 m2
1397,"Koja, Jakarta Utara",Rp 759.110.000,2 KT - 1 KM - 36 m2
1398,"Tarumajaya, Bekasi Kab.",Rp 5.600.000.000,4 KT - 2 KM - 400 m2
1399,"Cilincing, Jakarta Utara",Rp 1.200.000.000,4 KT - 3 KM - 80 m2
1400,"Tarumajaya, Bekasi Kab.",Rp 825.000.000,3 KT - 2 KM - 75 m2
1401,"Tarumajaya, Bekasi Kab.",Rp 358.000.000,2 KT - 2 KM - 72 m2
1402,"Tarumajaya, Bekasi Kab.",Rp 750.000.000,2 KT - 1 KM - 54 m2
1403,"Tarumajaya, Bekasi Kab.",Rp 1.400.000.000,5 KT - 2 KM - 120 m2
1404,"Tarumajaya, Bekasi Kab.",Rp 1.200.000.000,3 KT - 2 KM - 105 m2
1405,"Tarumajaya, Bekasi Kab.",Rp 1.675.000.000,3 KT - 3 KM - 80 m2
1406,"Cilincing, Jakarta Utara",Rp 350.000.000,4 KT - 1 KM - 60 m2
1407,"Cilincing, Jakarta Utara",Rp 995.000.000,5 KT - 3 KM - 150 m2
1408,"Tarumajaya, Bekasi Kab.",Rp 1.250.000.000,5 KT - 3 KM - 144 m2
1409,"Tarumajaya, Bekasi Kab.",Rp 230.000.000,3 KT - 1 KM - 100 m2
1410,"Tarumajaya, Bekasi Kab.",Rp 1.300.000.000,2 KT - 2 KM - 55 m2
1411,"Tarumajaya, Bekasi Kab.",Rp 3.500.000.000,3 KT - 3 KM - 175 m2
1412,"Tarumajaya, Bekasi Kab.",Rp 1.800.000.000,3 KT - 3 KM - 110 m2
1413,"Tarumajaya, Bekasi Kab.",Rp 3.500.000.000,3 KT - 3 KM - 180 m2
1414,"Tarumajaya, Bekasi Kab.",Rp 1.600.000.000,3 KT - 2 KM - 90 m2
1415,"Tarumajaya, Bekasi Kab.",Rp 1.850.000.000,3 KT - 2 KM - 124 m2
1416,"Tarumajaya, Bekasi Kab.",Rp 1.500.000.000,5 KT - 3 KM - 90 m2
1417,"Tarumajaya, Bekasi Kab.",Rp 820.000.000,2 KT - 1 KM - 60 m2
1418,"Cilincing, Jakarta Utara",Rp 759.000.000,2 KT - 1 KM - 36 m2
1419,"Cilincing, Jakarta Utara",Rp 399.000.000,2 KT - 1 KM - 36 m2
1420,"Tarumajaya, Bekasi Kab.",Rp 1.600.000.000,3 KT - 3 KM - 80 m2
1421,"Tarumajaya, Bekasi Kab.",Rp 1.100.000.000,3 KT - 2 KM - 90 m2
1422,"Cilincing, Jakarta Utara",Rp 535.000.543,2 KT - 1 KM - 36 m2
1423,"Tarumajaya, Bekasi Kab.",Rp 810.000.000,2 KT - 1 KM - 45 m2
1424,"Cilincing, Jakarta Utara",Rp 1.500.000.000,7 KT - 7 KM - 196 m2
