perumahan,kota,latitude,longitude
Pemda Dki,Jakarta Timur,-6.2500274,106.884805268985
Pemuda Residence,Jakarta Selatan,-6.2293192,106.7994216
Pengairan,Jakarta Barat,-6.18308405,106.788484019427
Percetakan Negara,Jakarta Pusat,-6.1857448,106.8700875
Percetakan Negara,Jakarta Selatan,-6.1927478,106.856013
Perdagangan,Jakarta Barat,-6.1557654,106.7542617
Perdagangan,Jakarta Selatan,-6.2770736,106.7662981
Perdagangan,Jakarta Utara,-6.17034935,106.889332713599
Perdana Residence,Jakarta Selatan,-6.2440124,106.7557658
Perdatam Ulujami,Jakarta Selatan,-6.2399572,106.7648248
Perhubungan,Jakarta Selatan,-6.2605215,106.7764885
Perhubungan Udara,Jakarta Pusat,-6.190218,106.8714434
Perikanan,Jakarta Selatan,-6.2649075,106.8474351
Perikani,Jakarta Timur,-6.2031224,106.8942073
Perindustrian,Jakarta Selatan,-6.229414,106.81290745576
Permata Berlian,Jakarta Selatan,-6.2232491,106.7842904
Permata Biru,Jakarta Utara,-6.171542,106.8992297
Permata Cengkareng,Jakarta Barat,-6.1224624,106.7123379
Permata Ciganjur Residence,Jakarta Selatan,-6.29994455,106.84108095
Permata Cilandak Residence,Jakarta Selatan,-6.2636515,106.7984912
Permata Hijau 1,Jakarta Selatan,-6.221427,106.7832498
Permata Hijau 2,Jakarta Selatan,-6.2288892,106.7701726
Permata Kalisari,Jakarta Timur,-6.3237368,106.855263
Permata Kebagusan,Jakarta Selatan,-6.29994455,106.84108095
Permata Mediterania,Jakarta Barat,-6.2225451,106.765303
Permata Meruya Residence,Jakarta Barat,-6.1948636,106.7397053
Permata Palmerah Residence,Jakarta Selatan,-6.2220745,106.7862941
Permata Penggilingan,Jakarta Timur,-6.2041638,106.9368335
Permata Puri Media,Jakarta Barat,-6.18013285,106.733036000492
Permata Regency,Jakarta Barat,-6.2084392,106.764194543851
Permata Residence Rorotan,Jakarta Utara,-6.1550207,106.9581559
Permata Senayan Residence,Jakarta Selatan,-6.2218916,106.791198
Permata Srengseng,Jakarta Barat,-6.2207096,106.762596
Permata Taman Palem,Jakarta Barat,-6.1328342,106.7114249
Persahabatan Residence,Jakarta Selatan,-6.349207,106.8082891
Pertambangan,Jakarta Barat,-6.21556075,106.771078460516
Pertambangan,Jakarta Selatan,-6.21556075,106.771078460516
Pertambangan Iii,Jakarta Barat,-6.224283,106.7692692
Pertamina,Jakarta Pusat,-6.17525665,106.84829565022
Pertamina,Jakarta Selatan,-6.2285785,106.83384285
Pertamina,Jakarta Timur,-6.1926454,106.881901504049
Pertamina,Jakarta Utara,-6.1062811,106.7411112
Pertamina Pemuda,Jakarta Timur,-6.1924183,106.882483913567
Pertamina Village,Jakarta Barat,-6.22868095,106.778221773883
Pertanian,Jakarta Timur,-6.21755225,106.896905845407
Pertanian Palapa,Jakarta Selatan,-6.2866872,106.837842714117
Pertiwi Residence,Jakarta Timur,-6.30060245,106.887311293105
Perumkar Dki,Jakarta Timur,-6.2380868,106.9388892
Perumnas Klender,Jakarta Timur,-6.2166631,106.9305607
Pesanggrahan Permai,Jakarta Selatan,-6.2363983,106.7558844
Pesanggrahan Permai Ii,Jakarta Selatan,-6.2367616,106.7553004
Pesona,Jakarta Selatan,-6.2210983,106.833254038609
Pesona Agung,Jakarta Selatan,-6.3333646,106.8580002
Pesona Cipayung,Jakarta Timur,-6.3333646,106.8580002
Pesona Kalisari,Jakarta Timur,-6.3335832,106.8583046
Pesona Residence,Jakarta Selatan,-6.2210983,106.833254038609
Petojo Selatan,Jakarta Pusat,-6.17480065,106.816405449364
Petukangan,Jakarta Selatan,-6.24284515,106.753984946834
Pik 2,Jakarta Utara,-6.1322188,106.756050123783
Pinang Ranti Mansion,Jakarta Timur,-6.2851918,106.8815024
Pinang Residence,Jakarta Selatan,-6.2867907,106.7711849
Pinisi Indah,Jakarta Utara,-6.1202404,106.7575971
Pln,Jakarta Pusat,-6.1971433,106.85091805
Pln,Jakarta Utara,-6.1753345,106.9043443
Pln Duren Tiga,Jakarta Selatan,-6.2539432,106.8339739
Pln Klender,Jakarta Timur,-6.20807915,106.904775501474
Pluit City,Jakarta Utara,-6.1097837,106.785663806741
Pluit Karang Asri,Jakarta Utara,-6.1131478,106.7718873
Pluit Karang Jelita,Jakarta Utara,-6.1149872,106.779279
Pluit Karang Permai,Jakarta Utara,-6.1239074,106.7827152
Pluit Mas,Jakarta Utara,-6.1337756,106.7905783
Pluit Murni,Jakarta Utara,-6.1127358,106.7880204
Pluit Permai,Jakarta Utara,-6.1157135,106.7942271
Pluit Putra,Jakarta Utara,-6.1196415,106.791658
Pluit Putri,Jakarta Utara,-6.1215085,106.7934689
Pluit Timur,Jakarta Utara,-6.1157941,106.7943446
Pmd,Jakarta Selatan,-6.2691531,106.8460508
Polri Duren Tiga,Jakarta Selatan,-6.227202,106.8200523
Polri Munjul,Jakarta Timur,-6.3472146,106.892384013022
Pomad,Jakarta Selatan,-6.2619508,106.8432729
Pondok Bambu Asri,Jakarta Timur,-6.23246,106.898557
Pondok Bambu Residence,Jakarta Timur,-6.2379668,106.9026733
Pondok Baru,Jakarta Timur,-6.3282302,106.8596437
Pondok Dian,Jakarta Timur,-6.2278565,106.941476616853
Pondok Kelapa Gardenia,Jakarta Timur,-6.2422972,106.9333134
Pondok Kelapa Indah,Jakarta Timur,-6.2148505,106.7580303
Pondok Kelapa Malaka Selatan,Jakarta Timur,-6.2360885,106.9270846
Pondok Kelapa Residence,Jakarta Timur,-6.2422972,106.9333134
Pondok Kopi,Jakarta Timur,-6.2278565,106.941476616853
Pondok Kopi Indah,Jakarta Timur,-6.2211906,106.9407678
Pondok Labu,Jakarta Selatan,-6.30914375,106.797938221208
Pondok Labu Garden,Jakarta Selatan,-6.30914375,106.797938221208
Pondok Labu Indah,Jakarta Selatan,-6.2867907,106.7711849
Pondok Ranggon,Jakarta Timur,-6.35670775,106.905687025591
Pp,Jakarta Timur,-6.3030178,106.857285418274
Praji Residence 88,Jakarta Timur,-6.3462811,106.8856651
Premier Riviera,Jakarta Timur,-6.2045134,106.9043891
Prima Indah,Jakarta Barat,-6.1430221,106.8339641
Prima Residence,Jakarta Timur,-6.3329267,106.897823159616
Prisma Kedoya,Jakarta Barat,-6.1938295,106.761055
Pt. Hii,Jakarta Utara,-6.1777498,106.9042929
Ptb Duren Sawit,Jakarta Timur,-6.2210584,106.9107432
Pu,Jakarta Barat,-6.18308405,106.788484019427
Pu Pondok Pinang,Jakarta Selatan,-6.2657691,106.7737493
Pulau Harapan,Jakarta Timur,-6.335202,106.907336
Pulo Gebang Indah,Jakarta Timur,-6.2008712,106.9533593
Pulo Gebang Permai,Jakarta Timur,-6.19514495,106.949201146068
Pulo Indah Permai,Jakarta Barat,-6.1819729,106.7152632
Pulomas Residence,Jakarta Timur,-6.17572495,106.888071097564
Puri Bambu,Jakarta Selatan,-6.2241687,106.8384724
Puri Bunga,Jakarta Selatan,-6.2241687,106.8384724
Puri Cempaka,Jakarta Timur,-6.2039635,106.9073017
Puri Cipayung,Jakarta Timur,-6.3358418,106.8492159
Puri Jaya,Jakarta Timur,-6.2039635,106.9073017
Puri Kedoya,Jakarta Barat,-6.1843498,106.752287144906
Puri Kencana,Jakarta Barat,-6.1909643,106.7460642
Puri Kosambi,Jakarta Barat,-6.18149975,106.729870699072
Puri Malaka,Jakarta Timur,-6.22266935,106.929214904809
Puri Mansion,Jakarta Barat,-6.1823435,106.723364355275
Puri Mutiara,Jakarta Selatan,-6.2785852,106.8121632
Puri Permata,Jakarta Barat,-6.18013285,106.733036000492
Pusdiklat Depnaker,Jakarta Timur,-6.2763998,106.8768034
Puspa Gading,Jakarta Utara,-6.172003,106.9155129
Pusri,Jakarta Barat,-6.1848684,106.790934085752
Pusri,Jakarta Selatan,-6.1848684,106.790934085752
Raisan Residence,Jakarta Selatan,-6.348076,106.7997008
Rambutan Residence,Jakarta Selatan,-6.3526431,106.8236383
Rancho Indah,Jakarta Selatan,-6.3057437,106.8503264
Rasa Sayang,Jakarta Barat,-6.1600429,106.7694023
Rasela Vi,Jakarta Pusat,-6.1483678,106.8388012
Rawa Bambu 1,Jakarta Selatan,-6.292643,106.8416009
Rawamangun Jakarta Timur,Jakarta Timur,-6.19489565,106.882861503899
Rempoa 1 Residence,Jakarta Selatan,-6.2811754,106.7616477
Residence 126,Jakarta Timur,-6.1754037,106.8873824
Residence 21,Jakarta Selatan,-6.30651645,106.807300209863
Rorotan,Jakarta Utara,-6.1455005,106.956314483922
Roxy,Jakarta Barat,-6.1756835,106.7837674
Roxy,Jakarta Selatan,-6.1756835,106.7837674
Royal Grand,Jakarta Timur,-6.2200881,106.905608
Royal Oak,Jakarta Timur,-6.2200881,106.905608
Royal Orchard,Jakarta Utara,-6.1353151,106.8285301
Royal Residence,Jakarta Timur,-6.3701319,106.8868225
Royale Residence,Jakarta Selatan,-6.147307,106.85271428019
Rri,Jakarta Barat,-6.1796667,106.7896725
Rspp,Jakarta Selatan,-6.3002948,106.7985244
Rumah,Jakarta Timur,-6.22595275,106.90188949921
Rumah Bangka,Jakarta Selatan,-6.2630889,106.8184883
Sadar Residence,Jakarta Selatan,-6.3313393,106.8125162
Sagu Indah,Jakarta Selatan,-6.266589,106.7837488
Salemba,Jakarta Pusat,-6.1972497,106.8514177
Sampit Residence,Jakarta Selatan,-6.2447449,106.7968835
Sandang,Jakarta Timur,-6.2162617,106.9100766
Sasak Residence Cipete,Jakarta Selatan,-6.2684597,106.8015152
Sawo Residence,Jakarta Selatan,-6.2798324,106.8390866
Sedayu City,Jakarta Utara,-6.1637396,106.928098017647
Sekretariat Negara Sunter,Jakarta Utara,-6.16933135,106.825249582062
Semanan Jaya Residence,Jakarta Barat,-6.16530095,106.691004452689
Semanggi Hill,Jakarta Selatan,-6.2239521,106.8153438
Senopati,Jakarta Selatan,-6.232466,106.811209
Senopati House,Jakarta Selatan,-6.232466,106.811209
Seroja Rempoa Residence,Jakarta Selatan,-6.2830504,106.7625855
Seskoal,Jakarta Selatan,-6.2380004,106.7712323
Setu Garden,Jakarta Timur,-6.3133915,106.914294623857
Sherwood Garden,Jakarta Utara,-6.136197,106.900690224284
Sherwood Residence,Jakarta Utara,-6.152796,106.907856091928
Siaga Baru,Jakarta Selatan,-6.2747165,106.8389193
Siaga Baru 3,Jakarta Selatan,-6.2747165,106.8389193
Siaga Raya,Jakarta Selatan,-6.2753544,106.8412967
Simatupang,Jakarta Selatan,-6.2991273,106.8321237
Simatupang Residence,Jakarta Selatan,-6.2926076,106.8056063
Simprug Garden,Jakarta Selatan,-6.2338924,106.7865249
Simprug Golf,Jakarta Selatan,-6.2261088,106.7942507
South Grove,Jakarta Selatan,-6.28381815,106.804863491948
Sovereign 78,Jakarta Selatan,-6.29313035,106.8030608
Spoor Regency,Jakarta Pusat,-6.2138926,106.850294828508
Srengseng Indah,Jakarta Selatan,-6.210921,106.7591612
Sudirman Residence,Jakarta Selatan,-6.2043473,106.8224219
Sukun 421,Jakarta Timur,-6.2082903,106.8655522
Sukun Mas,Jakarta Timur,-6.179692,106.8761656
Sultan Residence,Jakarta Selatan,-6.2061589,106.837386324195
Summarecon Kelapa Gading,Jakarta Utara,-6.1434094,106.911237741221
Sumur Bor,Jakarta Barat,-6.1530716,106.7190714
Sunter Agung Jaya,Jakarta Utara,-6.1349763,106.8582816
Sunter Agung Utara,Jakarta Utara,-6.1359497,106.862046933693
Sunter Bisma,Jakarta Utara,-6.13350215,106.861881155521
Sunter Garden,Jakarta Utara,-6.1435919,106.8911449
Sunter Hijau,Jakarta Utara,-6.1562965,106.8780249
Sunter Indah,Jakarta Utara,-6.1502705,106.8794472
Sunter Indah 2,Jakarta Utara,-6.1512393,106.8776874
Sunter Jakarta Utara,Jakarta Utara,-6.1435919,106.8911449
Sunter Jaya Baru,Jakarta Utara,-6.1349763,106.8582816
Sunter Karya,Jakarta Utara,-6.13816315,106.870888634086
Sunter Mas,Jakarta Utara,-6.1580417,106.8714665
Sunter Mediterania,Jakarta Utara,-6.12919515,106.872748275336
Sunter Metro,Jakarta Utara,-6.1338771,106.872704881851
Sunter Paradise,Jakarta Utara,-6.1393986,106.867047743533
Sunter Paradise 3,Jakarta Utara,-6.1393986,106.867047743533
Sunter Permai Jaya,Jakarta Utara,-6.1467493,106.8794085
Swadaya Indah,Jakarta Timur,-6.2987178,106.9019029
Swadaya Residence,Jakarta Selatan,-6.30651645,106.807300209863
Swadaya Residence,Jakarta Timur,-6.3032141,106.9118258
Taman Aa,Jakarta Barat,-6.156036,106.820050250073
Taman Aries,Jakarta Barat,-6.1948679,106.751004005417
Taman Asri,Jakarta Barat,-6.1540621,106.6981329
Taman Bintaro,Jakarta Selatan,-6.2722759,106.7563322
Taman Bona Indah,Jakarta Selatan,-6.3005918,106.78273978034
Taman Botanik,Jakarta Selatan,-6.31294815,106.810995354355
Taman Buaran Indah,Jakarta Timur,-6.218293,106.9221925
Taman Cengkareng Indah,Jakarta Barat,-6.1357089,106.7125649
Taman Cilandak,Jakarta Selatan,-6.2361404,106.794461972876
Taman Cosmos,Jakarta Barat,-6.1665156,106.765869
Taman Duren Sawit,Jakarta Timur,-6.2380434,106.934894083215
Taman Duta Mas,Jakarta Barat,-6.144338,106.7802675
Taman Gandaria,Jakarta Selatan,-6.2556902,106.789055606106
Taman Gedong Asri,Jakarta Timur,-6.2988793,106.8620948
Taman Grisenda,Jakarta Utara,-6.1322188,106.756050123783
Taman Jatinegara,Jakarta Timur,-6.21607105,106.87423921083
Taman Kebon Jeruk,Jakarta Barat,-6.16697545,106.767770842664
Taman Kedoya Baru Residence,Jakarta Barat,-6.1849329,106.7644591
Taman Kedoya Indah,Jakarta Barat,-6.2114489,106.7574802
Taman Kencana,Jakarta Barat,-6.1286126,106.7278714
Taman Kintamani,Jakarta Barat,-6.1482198,106.7123774
Taman Kota,Jakarta Barat,-6.1572539,106.7576067
Taman Lebak Bulus,Jakarta Selatan,-6.3005918,106.78273978034
Taman Malaka Asri,Jakarta Timur,-6.21792295,106.925390517691
Taman Marina Asri,Jakarta Utara,-6.1231575,106.8258635
Taman Meruya Ilir,Jakarta Barat,-6.1935384,106.7406065
Taman Meruya Plaza,Jakarta Barat,-6.19653775,106.744139803188
Taman Mutiara,Jakarta Barat,-6.1598646,106.7712598
Taman Mutiara Prima,Jakarta Barat,-6.1966764,106.7790506
Taman Nyiur,Jakarta Utara,-6.1357285,106.8711323
Taman Palem Lestari,Jakarta Barat,-6.1356783,106.7209995
Taman Permata Palem,Jakarta Barat,-6.1328342,106.7114249
Taman Pulo Gebang,Jakarta Timur,-6.2069203,106.946702473277
Taman Pulo Indah,Jakarta Timur,-6.2967699,106.7759836
Taman Ratu,Jakarta Barat,-6.16697545,106.767770842664
Taman Resort Mediterania,Jakarta Utara,-6.1574835,106.8958622
Taman Semanan Indah,Jakarta Barat,-6.1357089,106.7125649
Taman Setu Residence,Jakarta Timur,-6.30283465,106.895301594891
Taman Sunter Agung,Jakarta Utara,-6.15008915,106.857899684403
Taman Sunter Agung 2,Jakarta Utara,-6.15008915,106.857899684403
Taman Sunter Agung 3,Jakarta Utara,-6.15008915,106.857899684403
Taman Surya,Jakarta Barat,-6.1716236,106.7637728
Taman Surya 5,Jakarta Barat,-6.1381952,106.7126189
Taman Surya Kalideres,Jakarta Barat,-6.1357089,106.7125649
Taman Tangkuban Perahu,Jakarta Selatan,-6.2075746,106.835299598767
Taman Villa Meruya,Jakarta Barat,-6.19653775,106.744139803188
Tambora,Jakarta Barat,-6.1466142,106.801045596913
Tamini Garden,Jakarta Timur,-6.29056975,106.8827611
Tamini Residence,Jakarta Timur,-6.29056975,106.8827611
Tanah Kusir,Jakarta Selatan,-6.25281145,106.767812856895
Tangkas Permai,Jakarta Selatan,-6.2487497,106.7499848
Tanjung Barat Indah,Jakarta Selatan,-6.30859745,106.850955352029
Tanjung Duren Selatan,Jakarta Barat,-6.1791855,106.789501004459
Tawes Residence,Jakarta Selatan,-6.2941255,106.8375262
Tb Simatupang,Jakarta Timur,-6.3023621,106.8590187
Tebet Barat,Jakarta Selatan,-6.23378305,106.848497792307
Tebet Mas Indah,Jakarta Selatan,-6.2306866,106.8476755
"Tebet Timur Dalam, Tebet",Jakarta Selatan,-6.2260164,106.858396
Telkom,Jakarta Selatan,-6.255453,106.774641500677
Teluk Gong,Jakarta Utara,-6.16208555,106.889316410768
The Adhyaksa Residence,Jakarta Selatan,-6.297527,106.7764912
The Bango Residence,Jakarta Selatan,-6.30651645,106.807300209863
The Bukit,Jakarta Utara,-6.1695357,106.8882354
The Colony Residence,Jakarta Selatan,-6.2285616,106.8559431
The East Pancoran,Jakarta Selatan,-6.2580853,106.842732631567
The Haven Kemang,Jakarta Selatan,-6.2563861,106.8148806
The Icon,Jakarta Barat,-6.2019748,106.783059964963
The Jimbaran Residence,Jakarta Utara,-6.1489307,106.7109529
The Loft Kebagusan,Jakarta Selatan,-6.3103102,106.8312171
The Mampang House,Jakarta Selatan,-6.2406611,106.8213587
The Manggis Residence,Jakarta Selatan,-6.3252344,106.8043697
The One Cluster,Jakarta Selatan,-6.2152426,106.7254716
The Orchard Mansion,Jakarta Selatan,-6.2133373,106.8218496
The Pavillion,Jakarta Timur,-6.3157584,106.8679565
The Residence,Jakarta Selatan,-6.237193,106.785758157772
The Royal East,Jakarta Timur,-6.2200881,106.905608
The Royal Villas,Jakarta Timur,-6.2183295,106.906693
The Taman Dhika,Jakarta Timur,-6.3340837,106.8858589
The Tropical Residence,Jakarta Selatan,-6.333741,106.81926170322
The Villas At Kebagusan,Jakarta Selatan,-6.3103102,106.8312171
The Villas Moi,Jakarta Utara,-6.1556025,106.8951708
The Wiladatika Residence,Jakarta Timur,-6.3504854,106.8791288
The Willows Townhouse,Jakarta Selatan,-6.2761012,106.8423984
Timah Cilandak,Jakarta Selatan,-6.2998038,106.7922648
Timbul Residence,Jakarta Selatan,-6.348571,106.8031181
Tirta Sari Surya,Jakarta Timur,-6.1989865,106.87222178771
Tni Au,Jakarta Selatan,-6.2461285,106.8427251
Tomang Barat Baru,Jakarta Barat,-6.1804991,106.7729417
Town House Fatmawati,Jakarta Selatan,-6.3060477,106.747746
Townhouse Cordoba,Jakarta Utara,-6.1275862,106.78987624086
Transmigrasi,Jakarta Selatan,-6.2726903,106.83087425
Trimaran Permai,Jakarta Utara,-6.1159007,106.7547867
Tugu Permai,Jakarta Utara,-6.1279935,106.9109472
Tulodong Bawah,Jakarta Selatan,-6.2306484,106.8103733
Tvri,Jakarta Barat,-6.2207235,106.7257502
Tvri,Jakarta Selatan,-6.21390875,106.787049
Ulujami Indah,Jakarta Selatan,-6.2458357,106.7686397
Unilever,Jakarta Barat,-6.2139252,106.7267076
Unilever,Jakarta Selatan,-6.22648465,106.818269096785
Unilever Meruya Selatan,Jakarta Barat,-6.2139252,106.7267076
Utama,Jakarta Timur,-6.3677483,106.8975219
Veteran,Jakarta Selatan,-6.2600255,106.7677921
Villa Andalusia Bambu Apus,Jakarta Timur,-6.3131056,106.9009726
Villa Anggrek,Jakarta Barat,-6.12847595,106.717053631056
Villa Anggrek,Jakarta Selatan,-6.3082578,106.786429582799
Villa Ani,Jakarta Timur,-6.3035401,106.8611734
Villa Arteri,Jakarta Barat,-6.1440301,106.8087815
Villa Artha Gading,Jakarta Utara,-6.1556025,106.8951708
Villa Cibubur Indah,Jakarta Timur,-6.35840215,106.888823402018
Villa Cipayung,Jakarta Timur,-6.3293992,106.903738912405
Villa Danau Sunter,Jakarta Utara,-6.1382569,106.8565993
Villa Delima,Jakarta Selatan,-6.3016717,106.779691
Villa Insani,Jakarta Selatan,-6.2553149,106.7790703
Villa Jati Padang,Jakarta Selatan,-6.28900155,106.830084448804
Villa Jatiwaringin,Jakarta Timur,-6.2483449,106.9037747
Villa Kebayoran,Jakarta Selatan,-6.2448215,106.7782383
Villa Kebon Jeruk,Jakarta Barat,-6.19257205,106.769725489693
Villa Kelapa Dua,Jakarta Barat,-6.20960595,106.768264254934
Villa Kemayoran,Jakarta Pusat,-6.1625465,106.856890340743
Villa Kupu Kupu,Jakarta Timur,-6.349888,106.905429
Villa Malaka Indah,Jakarta Timur,-6.223973,106.9362377
Villa Menara,Jakarta Utara,-6.15113255,106.847998019631
Villa Pasar Baru,Jakarta Pusat,-6.165709,106.834634657692
Villa Pejaten Mas,Jakarta Selatan,-6.2808809,106.8469064
Villa Permata,Jakarta Selatan,-6.2475556,106.8414296
Villa Permata Gading,Jakarta Utara,-6.1682935,106.9042145
Villa Pondok Indah,Jakarta Selatan,-6.288078,106.7968651
Villa Sawo,Jakarta Selatan,-6.26226615,106.80012139627
Villa Serut,Jakarta Timur,-6.3544342,106.9066357
Villa Sunter Mas,Jakarta Utara,-6.151857,106.8781723
Villa Tomang Mas,Jakarta Barat,-6.1801202,106.7717319
Wadas Residence,Jakarta Timur,-6.3099743,106.8935118
Walet Indah,Jakarta Utara,-6.1275447,106.7629563
Walet Permai,Jakarta Utara,-6.1276371,106.7605692
Walikota,Jakarta Barat,-6.2140401,106.7232772
Walikota,Jakarta Timur,-6.21401595,106.944718250149
Walikota,Jakarta Utara,-6.1188305,106.8931407
Waringin Permai,Jakarta Timur,-6.25167515,106.911292
Waru Residence Bambu Apus,Jakarta Timur,-6.3058633,106.9121497
Warung Silah Residence,Jakarta Selatan,-6.3458158,106.8087668
Wijaya Kusuma,Jakarta Barat,-6.1543853,106.775836961935
Yado,Jakarta Selatan,-6.2536338,106.7896137
Yasmin Residence,Jakarta Selatan,-6.2466443,106.853317852919
Yos Sudarso,Jakarta Utara,-6.157164,106.8844048
